tax_prd_yr,formtype,totrevenue,totfuncexpns,totassetsend,totliabend,totnetassetend,totcntrbgfts,totprgmrevnue,invstmntinc,compnsatncurrofcr,othrsalwages,payrolltx,profndraising,grsincfndrsng,ein,name,city,county,subsector_name,ntee_major,ntee_major_name
2022,0,10829852,9848725,74727773,24250,74703523.0,0.0,15990616.0,-5160764.0,0.0,0.0,0.0,0.0,0.0,02-6162571,Voluntary Employees Beneficiary Association Post-Employment Health,Spokane,Spokane County,Mutual & Membership Benefit,Y,Mutual & Membership Benefit
2021,0,17907291,8611902,74536004,813608,73722396.0,0.0,12452473.0,5454818.0,0.0,0.0,0.0,0.0,0.0,02-6162571,Voluntary Employees Beneficiary Association Post-Employment Health,Spokane,Spokane County,Mutual & Membership Benefit,Y,Mutual & Membership Benefit
2020,0,22788295,8699200,65055591,628584,64427007.0,0.0,11238145.0,8577036.0,0.0,0.0,0.0,0.0,0.0,02-6162571,Voluntary Employees Beneficiary Association Post-Employment Health,Spokane,Spokane County,Mutual & Membership Benefit,Y,Mutual & Membership Benefit
2019,0,12699209,8992393,54634941,368303,54266638.0,0.0,11082785.0,1244916.0,0.0,0.0,0.0,0.0,0.0,02-6162571,Voluntary Employees Beneficiary Association Post-Employment Health,Spokane,Spokane County,Mutual & Membership Benefit,Y,Mutual & Membership Benefit
2017,0,15112080,7422473,44407710,325630,44082080.0,0.0,13825520.0,947691.0,0.0,0.0,0.0,0.0,0.0,02-6162571,Voluntary Employees Beneficiary Association Post-Employment Health,Spokane,Spokane County,Mutual & Membership Benefit,Y,Mutual & Membership Benefit
2016,0,9801726,5603470,35080360,302936,34777424.0,0.0,8916754.0,764351.0,0.0,0.0,0.0,0.0,0.0,02-6162571,Voluntary Employees Beneficiary Association Post-Employment Health,Spokane,Spokane County,Mutual & Membership Benefit,Y,Mutual & Membership Benefit
2015,0,8303539,5218829,30303778,292467,30011311.0,0.0,7303177.0,843033.0,0.0,0.0,0.0,0.0,0.0,02-6162571,Voluntary Employees Beneficiary Association Post-Employment Health,Spokane,Spokane County,Mutual & Membership Benefit,Y,Mutual & Membership Benefit
2014,0,6001235,4905845,27814101,259934,27554167.0,0.0,5177130.0,776014.0,0.0,0.0,0.0,0.0,0.0,02-6162571,Voluntary Employees Beneficiary Association Post-Employment Health,Spokane,Spokane County,Mutual & Membership Benefit,Y,Mutual & Membership Benefit
2013,0,5053153,4970799,26344036,305885,26038151.0,0.0,4268099.0,669269.0,0.0,0.0,0.0,0.0,0.0,02-6162571,Voluntary Employees Beneficiary Association Post-Employment Health,Spokane,Spokane County,Mutual & Membership Benefit,Y,Mutual & Membership Benefit
2012,0,8022202,5099376,25222773,344451,24878322.0,0.0,6386420.0,673366.0,0.0,0.0,0.0,0.0,0.0,02-6162571,Voluntary Employees Beneficiary Association Post-Employment Health,Spokane,Spokane County,Mutual & Membership Benefit,Y,Mutual & Membership Benefit
2011,0,3909949,5667924,22484341,265000,22219341.0,0.0,3602196.0,209888.0,0.0,0.0,0.0,0.0,0.0,02-6162571,Voluntary Employees Beneficiary Association Post-Employment Health,Spokane,Spokane County,Mutual & Membership Benefit,Y,Mutual & Membership Benefit
2023,0,609659,603755,13768997,13256158,512839.0,57709.0,187430.0,362120.0,219622.0,0.0,0.0,0.0,0.0,06-1764737,Habitat For Humanity International,Spokane,Spokane County,Human Services,L,Housing & Shelter
2022,0,686155,464010,11713184,11206249,506935.0,134915.0,162711.0,388529.0,141281.0,0.0,0.0,0.0,0.0,06-1764737,Habitat For Humanity International,Spokane,Spokane County,Human Services,L,Housing & Shelter
2021,0,519984,425546,12930048,12645258,284790.0,16234.0,137192.0,366558.0,136193.0,0.0,0.0,0.0,0.0,06-1764737,Habitat For Humanity International,Spokane,Spokane County,Human Services,L,Housing & Shelter
2020,0,456160,372062,11933660,11743308,190352.0,28742.0,109921.0,317497.0,82923.0,5599.0,7108.0,0.0,0.0,06-1764737,Habitat For Humanity International,Spokane,Spokane County,Human Services,L,Housing & Shelter
2019,0,389518,371866,10252181,10145927,106254.0,22859.0,111234.0,252675.0,103423.0,6853.0,8904.0,0.0,0.0,06-1764737,Habitat For Humanity International,Spokane,Spokane County,Human Services,L,Housing & Shelter
2018,0,339722,343230,7593646,7505044,88602.0,25017.0,76486.0,227284.0,99725.0,6906.0,9234.0,0.0,0.0,06-1764737,Habitat For Humanity International,Spokane,Spokane County,Human Services,L,Housing & Shelter
