tax_prd_yr,n,total_revenue,total_expenses,median_revenue
2012,368,2284980998,2037812396,828308.0
2013,376,2445786435,2189736911,844278.0
2014,392,2461107960,2180172119,856738.0
2015,409,2700411265,2370943187,867142.0
2016,416,2844960400,2604661152,902861.0
2017,424,3107823440,2823787319,977930.0
2018,431,3320688311,2898120834,1044244.0
2019,445,3597344679,3171744249,1128356.5
2020,460,3897076966,3380141414,1103503.5
2021,479,4626331826,3613004752,1263225.0
2022,486,4568812662,3932230619,1337882.0
2023,472,4624173933,4255682760,1435767.0
2024,67,255375279,220433146,1416669.0
