ein,name,city,county,subsector_name,ntee_major,ntee_major_name,tax_prd_yr,totrevenue,totfuncexpns,totassetsend,net_assets,margin,months_reserves,contrib_share,personnel_share
84-3432649,Pulse Foundation,Moscow,Whitman County,Environment & Animals,D,Animal-Related,2022,4500,1017,54684,54684.0,0.774,645.2389380530974,1.0,0.0
91-0491475,American Expoloration & Mining Association,Spokane Vly,Spokane County,Unclassified,U,Science & Technology,2022,1375140,1453733,1208351,751192.0,-0.05715272626787091,6.20079753297201,0.38209927716450687,0.4877470622184404
91-1673492,Avista Corporation Retiree Benefit,Spokane,Spokane County,Unclassified,U,Science & Technology,2022,12911601,11553818,49473671,49473671.0,0.10515992555841835,51.3842309096439,0.0,0.0013779860475558814
82-0356946,Senior Citizens Of The Post Falls Area Of Kootenai County,Post Falls,Kootenai County,Human Services,P,Human Services,2022,585740,227598,344325,341910.0,0.6114351077269778,18.027047689347008,0.04927612934066309,0.4383518308596736
02-6162571,Voluntary Employees Beneficiary Association Post-Employment Health,Spokane,Spokane County,Mutual & Membership Benefit,Y,Mutual & Membership Benefit,2022,10829852,9848725,74727773,74703523.0,0.09059468218032897,91.02115004734115,0.0,0.0
91-2156027,City Of Santa Clara Voluntary Employees Beneficiary Assoc Postre,Spokane,Spokane County,Mutual & Membership Benefit,Y,Mutual & Membership Benefit,2022,2194589,8212254,34148874,33939311.0,-2.742046460635682,49.59317283659273,0.0,0.0
91-0418800,Spokane Regional Chamber Of Commerce,Spokane,Spokane County,Unclassified,U,Science & Technology,2022,5819739,4589969,6247004,2928269.0,0.2113101635657544,7.655656933630706,0.8113607843925646,0.45498782235784163
26-3521521,Health Alliance For Technology Health,Spokane,Spokane County,Mutual & Membership Benefit,Y,Mutual & Membership Benefit,2022,25740211,25681298,1053187,759746.0,0.0022887535770394424,0.35500355161176045,0.0,0.002545432088362512
74-3200153,Nuestras Raices Centro Comunitario,Spokane,Spokane County,Education,B,Education,2022,377721,31450,28300,28300.0,0.9167374861339455,10.798092209856915,1.0,0.0
91-0567727,Camp Fire,Spokane Vly,Spokane County,Unclassified,U,Science & Technology,2022,1243326,1312642,2892487,2518570.0,-0.05575046287136278,23.024434689732615,0.9519538721139911,0.5432859835354956
91-1551154,Spokane Housing Ventures,Spokane,Spokane County,Public & Societal Benefit,T,Philanthropy & Grantmaking,2022,5812394,9783873,36515376,-376650.0,-0.6832776649346207,-0.4619642957344193,0.040273938759141245,0.12509994763832277
56-6626298,State Of Indiana Health Reimbursement Arrangement Hra,Spokane,Spokane County,Mutual & Membership Benefit,Y,Mutual & Membership Benefit,2022,19798932,18922046,298738342,298447142.0,0.04428956066923206,189.26947455893512,0.0,0.0
45-3361624,Spreeha Foundation,Spokane,Spokane County,International,Q,International Affairs,2022,382827,365808,313565,313565.0,0.04445611202971577,10.286215719721822,1.0,0.18681111402703057
84-5129426,Way To Justice,Spokane,Spokane County,Public & Societal Benefit,R,Civil Rights & Advocacy,2022,835362,687909,657017,615241.0,0.17651389457504651,10.732367217175527,0.9969282778005224,0.6994602483758753
91-0606058,United Way Of Spokane County,Spokane,Spokane County,Public & Societal Benefit,T,Philanthropy & Grantmaking,2022,2802582,3175676,2681328,2470116.0,-0.1331250967857497,9.333884187177784,0.9873302547436614,0.28696126431033897
85-2725630,Latinos En Spokane,Spokane,Spokane County,Public & Societal Benefit,S,Community Improvement,2022,639151,511417,383992,354620.0,0.1998494878362077,8.320881003173534,0.8704140336164693,0.27233549138960966
46-1202594,Century Aluminum Hawesville Retiree Health Care Reimbursement,Spokane,Spokane County,Mutual & Membership Benefit,Y,Mutual & Membership Benefit,2022,1056791,381151,13442779,13409704.0,0.6393317127038364,422.1855590041742,0.0,0.0104945284152475
45-5497267,Family Promise Of The Palouse,Pullman,Whitman County,Human Services,P,Human Services,2022,342535,306818,388428,388428.0,0.10427255608915877,15.191859669250174,0.9999854029515232,0.5140637120377552
86-2233559,Health And Justice Recovery Alliance,Spokane,Spokane County,Human Services,I,Crime & Legal-Related,2022,606720,590761,18301,18301.0,0.026303731540084387,0.37174424174920145,1.0,0.1862072817941604
46-7046583,Washington Retail Health,Spokane,Spokane County,Mutual & Membership Benefit,Y,Mutual & Membership Benefit,2022,6116324,6127178,506653,372101.0,-0.0017745953288282308,0.7287550647296357,0.0,0.0007112572867966297
91-1714482,Friends Of Gladish,Pullman,Whitman County,Public & Societal Benefit,S,Community Improvement,2022,839775,925010,1742394,641556.0,-0.10149742490548064,8.322798672446783,0.3239641570658807,0.44575518102507
46-7042893,Washington Business Services Health,Spokane,Spokane County,Mutual & Membership Benefit,Y,Mutual & Membership Benefit,2022,6646988,6646833,712674,642516.0,2.3318832529861645e-05,1.1599797978977358,0.0,0.0008492766404692279
91-0998745,Spokane Arts Fund,Spokane,Spokane County,Unclassified,U,Science & Technology,2022,349836,617196,39907,24467.0,-0.764243817102871,0.4757062586277293,0.9119758972775815,0.36311803705792
46-7048407,Washington Commercial Construction Health,Spokane,Spokane County,Mutual & Membership Benefit,Y,Mutual & Membership Benefit,2022,18805539,18828070,1211460,593554.0,-0.0011981044520978632,0.37829942208627865,0.0,0.0003294017921114591
86-6752994,Healthinvest Hra Veba Trst-Trace,Spokane,Spokane County,Mutual & Membership Benefit,Y,Mutual & Membership Benefit,2022,310186,55609,605001,605001.0,0.8207236948153689,130.55462245320004,0.0,0.0
46-7038595,Washington Manufacturing Health,Spokane,Spokane County,Mutual & Membership Benefit,Y,Mutual & Membership Benefit,2022,5774830,5800270,305530,232151.0,-0.004405324485742437,0.48029005546293535,0.0,0.0004629094852481005
91-1001680,Corbin Senior Activity Center,Spokane,Spokane County,Human Services,P,Human Services,2022,836044,938100,846073,801971.0,-0.12207013028022448,10.258663255516469,0.7116240293573065,0.20418079096045197
46-3709621,Helping Captives,Spokane Vly,Spokane County,Unclassified,Z,Unknown,2022,1235516,1318655,1017502,241614.0,-0.06729091327024499,2.1987312830118566,0.9814134337394255,0.37373232574100124
82-3857792,Pend Oreille Paramedics,Newport,Pend Oreille County,Health,E,Health Care,2022,1126860,1267620,178029,-24866.0,-0.12491347638570896,-0.23539546551805746,0.0045480361358110144,0.6707917199160631
26-4196314,Missionary Financial Services,Spokane,Spokane County,Religion,X,Religion-Related,2023,576225,468537,326068,326068.0,0.1868853312508135,8.351135555996645,1.0,0.6448839686086691
91-2103763,Dominion Meadows Athletic Association,Colville,Stevens County,Human Services,N,Recreation & Sports,2023,619736,696725,1729788,1721229.0,-0.12422870383518143,29.645481359216333,0.41523003343359105,0.41437870034805696
82-0136983,Kootenai Electric Cooperative,Rathdrum,Kootenai County,Unclassified,U,Science & Technology,2023,64683289,67485189,285698490,90700932.0,-0.04331721598139513,16.128149007628917,0.0,0.21028028831630005
81-6965795,Ivg,Coeur D Alene,Kootenai County,Mutual & Membership Benefit,Y,Mutual & Membership Benefit,2023,2241084,1991635,7961542,7961542.0,0.111307295933575,47.96988604839742,0.0,0.0
75-3195110,Destiny Kids Early Learning Center,Spokane,Spokane County,Human Services,P,Human Services,2023,373878,452010,44578,44578.0,-0.20897725996180572,1.1834605429083427,1.0,0.6510453308555121
91-1478830,Partners Inland Northwest,Spokane Vly,Spokane County,Human Services,P,Human Services,2023,13175532,6717040,9496497,9277605.0,0.4901883278792841,16.574452437383133,0.9853961115194437,0.1342883174731727
91-1234899,Peace And Justice Action League Of Spokane,Spokane,Spokane County,Arts & Culture,A,"Arts, Culture & Humanities",2023,824335,410141,842906,841811.0,0.5024583452115948,24.629900448870025,0.9371881577271376,0.6594268800241868
91-0716160,The Arc Of Spokane,Spokane,Spokane County,Unclassified,U,Science & Technology,2023,13728056,13846952,12716666,7759616.0,-0.008660803831219803,6.724612896758796,1.0358454977165013,0.8119667779595106
91-0695565,Spokane Civic Theatre,Spokane,Spokane County,Arts & Culture,A,"Arts, Culture & Humanities",2023,1195328,1343416,1052864,202852.0,-0.12388900787064304,1.8119659137601458,0.40622071933394016,0.42292037611581224
84-0780545,Christian Military Fellowship,Spokane Vly,Spokane County,Religion,X,Religion-Related,2023,468168,449714,257518,233992.0,0.03941747406913757,6.243754919793469,0.9993762922711505,0.5362786126293599
83-2464309,Mia Mujeres In Action,Spokane,Spokane County,Human Services,P,Human Services,2023,567149,653642,522035,77581.0,-0.1525048973021199,1.4242842412207295,1.0811779620523,0.7177093883196001
81-0305103,Montana Retail Employees Health And Welfare,Spokane,Spokane County,Unclassified,U,Science & Technology,2023,13499364,12466812,14350506,14319637.0,0.07648893681213426,13.783447123450646,0.0,0.0
91-0829001,Boost Collaborative,Pullman,Whitman County,Human Services,J,Employment,2023,1677201,1439423,1345833,1139609.0,0.141770723962125,9.500548483663245,0.6975025652858542,0.679969682296309
91-1192094,Volunteer Food And Resource Center,Colville,Stevens County,Human Services,K,"Food, Agriculture & Nutrition",2023,554098,559851,257690,244737.0,-0.010382639894025967,5.2457600325800975,0.9904294908120946,0.09835831319404627
91-0565011,Spokane Humane Society,Spokane,Spokane County,Environment & Animals,D,Animal-Related,2023,2528905,3196126,6020645,5503101.0,-0.26383790612933267,20.661642250649695,0.913899889477857,0.5966951866102901
91-6068602,Inland Empire Teamsters,Spokane,Spokane County,Unclassified,U,Science & Technology,2023,28128001,23865656,29109946,25551748.0,0.15153387544319272,12.847791655087963,0.0,0.0
26-4723413,Inland Northwest Honor Flight,Spokane,Spokane County,Arts & Culture,A,"Arts, Culture & Humanities",2023,355332,482094,480052,480052.0,-0.35674242680085105,11.949171738291703,0.8370256548805061,0.0
91-0617900,International Association Of Heat & Frost Insulators & Allied Workers,Spokane,Spokane County,Unclassified,U,Science & Technology,2023,766211,805133,1399695,1398830.0,-0.050798017778392636,20.848679659137062,0.0,0.06104705682166797
91-0853801,Frontier Behavioral Health Spokane Mental Health,Spokane,Spokane County,Health,F,Mental Health & Crisis Intervention,2023,80775378,75240030,74847509,45987006.0,0.06852766445735481,7.334447793282379,0.7948778772660154,0.6810440001153641
91-0268235,Laborers International Union Of North America,Spokane,Spokane County,Unclassified,U,Science & Technology,2023,1370949,1201337,2747771,2647008.0,0.12371867954241916,26.440620741723595,0.0,0.42003451154838317
91-0565025,Young Womens Christian Association,Spokane,Spokane County,Human Services,P,Human Services,2023,7403357,7566486,9341956,8523637.0,-0.022034463554844105,13.517984966865729,1.0144673558225006,0.6062162805825584
91-6067453,Spokane Youth Sports Association,Spokane,Spokane County,Human Services,N,Recreation & Sports,2023,1197876,1145223,3211040,2846324.0,0.04395530088256214,29.824661223185352,0.09932831111066588,0.4649967735541462
91-0268101,International Brotherhood Of Boiler Makers Iron Ship Builders Blacksmi,Spokane,Spokane County,Unclassified,U,Science & Technology,2023,654058,758216,599690,599690.0,-0.1592488739530745,9.491068508182366,0.7556959780325292,0.5531484431876932
91-2038316,New Stories,Spokane,Spokane County,Education,B,Education,2023,707866,736892,200346,156831.0,-0.04100493596245617,2.5539319194671677,0.6414052942223528,0.06568805198048018
91-0853408,Community Child Care Center,Pullman,Whitman County,Unclassified,U,Science & Technology,2023,3569650,3127854,2669137,2326076.0,0.1237645147283347,8.923981745951059,0.8646071743728376,0.71833851580029
91-0646783,Spokane Education Association,Spokane,Spokane County,Unclassified,U,Science & Technology,2023,1435767,1303477,1396854,999055.0,0.09213890554665206,9.197446521879558,0.0,0.6126022937113582
91-0664709,Morning Star Boys Ranch,Spokane,Spokane County,Human Services,O,Youth Development,2023,2382539,3158328,5032359,4852780.0,-0.3256143970780751,18.438034301693808,0.12375872965773069,0.6485051584255973
91-6033504,Spokane Parks Foundation,Spokane,Spokane County,Unclassified,U,Science & Technology,2023,557539,292207,2089732,2085621.0,0.4758985470074739,85.64973460594716,0.9331741815370763,0.2788228892531664
26-2767677,Camp Spalding,Newport,Pend Oreille County,Religion,X,Religion-Related,2023,1666263,1665393,3614322,3051648.0,0.0005221264590283767,21.988669341110477,0.3144647633656872,0.36837070889573814
94-3120807,Educational Corporation Mukogawa Gakuin,Spokane,Spokane County,Education,B,Education,2023,155370950,157447782,1423598517,1380044072.0,-0.013366926056640575,105.18108704764097,0.1076759136762696,0.0015502981172513437
91-6028220,Pullman Regional Hospital Foundation,Pullman,Whitman County,Public & Societal Benefit,T,Philanthropy & Grantmaking,2023,1690963,2166136,3360081,3195133.0,-0.2810073313254045,17.70045648103351,0.9984423077264257,0.0
91-6028438,Spokane Racquet Club,Spokane,Spokane County,Unclassified,U,Science & Technology,2023,500468,491014,681361,309983.0,0.01889031866173262,7.575743257829715,0.5222611635509163,0.5709633533870725
83-4461507,Healthy Ferry County Coalition,Spokane,Spokane County,Public & Societal Benefit,S,Community Improvement,2023,152132,136382,225398,,0.10352851471090894,,,0.0
83-0550726,Eastern Washington Surf Sc,Spokane,Spokane County,Human Services,N,Recreation & Sports,2023,1580713,1375708,409768,409768.0,0.12969147466997488,3.574316642775938,1.0,0.23328424345864093
83-4425311,Compassionate Addiction Treatment,Spokane,Spokane County,Health,F,Mental Health & Crisis Intervention,2023,2192886,2124211,832100,708625.0,0.03131717745473317,4.003133398706625,0.7131615596980417,0.6153964930979079
