ruling_year,county,n,n_active
1940,Kootenai County,22,12
1940,Latah County,15,10
1940,Lincoln County,7,3
1940,Pend Oreille County,6,3
1940,Spokane County,139,69
1940,Stevens County,13,6
1940,Whitman County,28,14
1941,Kootenai County,6,3
1941,Latah County,11,9
1941,Lincoln County,4,1
1941,Spokane County,50,30
1941,Stevens County,7,2
1941,Whitman County,15,5
1942,Kootenai County,6,4
1942,Lincoln County,1,0
1942,Pend Oreille County,1,0
1942,Spokane County,25,17
1942,Stevens County,2,1
1942,Whitman County,11,3
1943,Kootenai County,1,1
1943,Lincoln County,1,1
1943,Spokane County,6,5
1943,Stevens County,1,0
1943,Whitman County,1,1
1944,Kootenai County,8,4
1944,Latah County,5,2
1944,Lincoln County,1,1
1944,Spokane County,14,7
1944,Whitman County,4,0
1945,Kootenai County,15,6
1945,Latah County,11,8
1945,Lincoln County,5,2
1945,Spokane County,47,12
1945,Stevens County,5,1
1945,Whitman County,8,1
1946,Kootenai County,24,12
1946,Latah County,11,3
1946,Lincoln County,12,0
1946,Pend Oreille County,4,3
1946,Spokane County,81,39
1946,Stevens County,14,5
1946,Whitman County,18,9
1947,Kootenai County,3,1
1947,Latah County,3,3
1947,Pend Oreille County,1,1
1947,Spokane County,12,7
1947,Stevens County,1,1
1947,Whitman County,7,3
1948,Kootenai County,2,1
1948,Lincoln County,3,2
1948,Spokane County,9,6
1948,Stevens County,2,1
1948,Whitman County,1,0
1949,Kootenai County,9,6
1949,Latah County,3,1
1949,Lincoln County,3,2
1949,Spokane County,31,21
1949,Stevens County,4,2
1949,Whitman County,4,3
1950,Kootenai County,6,3
1950,Latah County,3,2
1950,Lincoln County,1,0
1950,Pend Oreille County,1,1
1950,Spokane County,13,5
1950,Whitman County,6,2
1951,Kootenai County,4,2
1951,Latah County,4,2
1951,Lincoln County,4,1
1951,Spokane County,20,9
1951,Whitman County,6,2
1952,Kootenai County,25,11
1952,Latah County,4,0
1952,Lincoln County,1,0
1952,Spokane County,8,2
1952,Whitman County,2,0
1953,Kootenai County,2,0
1953,Latah County,3,2
1953,Spokane County,11,7
1953,Stevens County,2,1
1953,Whitman County,1,1
1954,Kootenai County,1,1
1954,Lincoln County,1,0
1954,Spokane County,29,17
1954,Whitman County,2,1
1955,Kootenai County,5,4
1955,Pend Oreille County,1,0
1955,Spokane County,11,7
1955,Stevens County,1,0
1955,Whitman County,3,1
1956,Kootenai County,1,1
1956,Lincoln County,2,1
1956,Spokane County,13,4
1956,Stevens County,3,1
1956,Whitman County,1,0
1957,Kootenai County,3,0
1957,Latah County,4,1
1957,Lincoln County,2,1
1957,Pend Oreille County,1,0
1957,Spokane County,28,9
1957,Stevens County,1,1
1957,Whitman County,5,2
1958,Kootenai County,3,1
1958,Latah County,2,1
1958,Lincoln County,2,0
1958,Spokane County,21,6
1958,Stevens County,3,2
1958,Whitman County,4,1
1959,Kootenai County,8,3
1959,Latah County,1,1
1959,Spokane County,19,11
1959,Stevens County,2,1
1959,Whitman County,4,2
1960,Kootenai County,5,3
1960,Latah County,2,2
1960,Lincoln County,2,1
1960,Spokane County,19,6
1960,Stevens County,2,1
1960,Whitman County,1,0
1961,Kootenai County,3,1
1961,Spokane County,10,7
1961,Whitman County,1,1
1962,Kootenai County,5,1
1962,Latah County,2,0
1962,Lincoln County,1,0
1962,Pend Oreille County,3,0
1962,Spokane County,19,10
1962,Stevens County,8,4
1962,Whitman County,4,2
1963,Kootenai County,3,2
1963,Lincoln County,2,1
1963,Spokane County,23,13
1963,Stevens County,2,2
1963,Whitman County,3,3
1964,Kootenai County,19,14
1964,Latah County,8,4
1964,Lincoln County,1,1
1964,Pend Oreille County,5,4
1964,Spokane County,80,66
1964,Stevens County,16,11
1964,Whitman County,16,14
1965,Kootenai County,16,3
1965,Latah County,4,0
1965,Lincoln County,3,0
1965,Pend Oreille County,2,0
1965,Spokane County,82,19
1965,Stevens County,5,2
1965,Whitman County,11,2
1966,Kootenai County,10,5
1966,Latah County,10,4
1966,Lincoln County,1,1
1966,Pend Oreille County,1,1
1966,Spokane County,39,15
1966,Stevens County,3,0
1966,Whitman County,6,1
1967,Kootenai County,9,4
1967,Latah County,13,9
1967,Pend Oreille County,3,3
1967,Spokane County,25,11
1967,Stevens County,2,1
1967,Whitman County,2,0
1968,Kootenai County,2,0
1968,Latah County,4,0
1968,Lincoln County,2,2
1968,Pend Oreille County,1,1
1968,Spokane County,22,6
1968,Stevens County,2,2
1968,Whitman County,6,0
1969,Kootenai County,7,5
1969,Latah County,8,2
1969,Lincoln County,1,1
1969,Pend Oreille County,2,1
1969,Spokane County,36,12
1969,Stevens County,4,1
1969,Whitman County,4,1
1970,Kootenai County,12,5
1970,Latah County,3,1
1970,Pend Oreille County,1,1
1970,Spokane County,25,12
1970,Stevens County,2,0
1970,Whitman County,3,2
1971,Kootenai County,4,1
1971,Latah County,3,2
1971,Lincoln County,1,0
1971,Spokane County,34,17
1971,Stevens County,1,0
1971,Whitman County,4,2
1972,Kootenai County,34,20
1972,Latah County,27,8
1972,Lincoln County,12,3
1972,Pend Oreille County,14,2
1972,Spokane County,89,29
1972,Stevens County,29,14
1972,Whitman County,43,9
1973,Kootenai County,15,10
1973,Latah County,3,1
1973,Lincoln County,1,0
1973,Pend Oreille County,2,0
1973,Spokane County,35,18
1973,Stevens County,2,1
1973,Whitman County,4,3
1974,Kootenai County,10,6
1974,Latah County,5,2
1974,Lincoln County,2,1
1974,Spokane County,41,19
1974,Whitman County,11,5
1975,Kootenai County,5,2
1975,Latah County,2,1
1975,Lincoln County,2,2
1975,Pend Oreille County,2,0
1975,Spokane County,41,17
1975,Stevens County,6,4
1975,Whitman County,4,1
1976,Kootenai County,9,5
1976,Latah County,4,1
1976,Lincoln County,1,0
1976,Pend Oreille County,2,1
1976,Spokane County,45,17
1976,Stevens County,3,1
1976,Whitman County,6,3
1977,Kootenai County,16,12
1977,Latah County,6,2
1977,Lincoln County,3,0
1977,Pend Oreille County,1,0
1977,Spokane County,31,14
1977,Stevens County,4,2
1977,Whitman County,5,2
1978,Kootenai County,11,7
1978,Latah County,7,2
1978,Lincoln County,2,2
1978,Pend Oreille County,1,1
1978,Spokane County,38,14
1978,Stevens County,5,4
1978,Whitman County,3,1
1979,Kootenai County,16,4
1979,Latah County,3,2
1979,Spokane County,30,12
1979,Stevens County,2,1
1979,Whitman County,7,4
1980,Kootenai County,7,2
1980,Latah County,8,5
1980,Spokane County,25,16
1980,Stevens County,4,3
1980,Whitman County,4,2
1981,Kootenai County,9,6
1981,Latah County,6,1
1981,Lincoln County,5,4
1981,Pend Oreille County,3,1
1981,Spokane County,53,22
1981,Stevens County,6,4
1981,Whitman County,7,1
1982,Kootenai County,9,2
1982,Latah County,9,5
1982,Lincoln County,3,2
1982,Pend Oreille County,2,0
1982,Spokane County,45,18
1982,Stevens County,1,0
1982,Whitman County,3,2
1983,Kootenai County,13,6
1983,Latah County,5,2
1983,Lincoln County,1,0
1983,Pend Oreille County,1,1
1983,Spokane County,52,25
1983,Stevens County,7,2
1983,Whitman County,1,0
1984,Kootenai County,15,6
1984,Latah County,3,1
1984,Pend Oreille County,1,1
1984,Spokane County,47,20
1984,Stevens County,6,3
1984,Whitman County,8,3
1985,Kootenai County,16,6
1985,Latah County,2,0
1985,Lincoln County,1,1
1985,Pend Oreille County,1,0
1985,Spokane County,47,16
1985,Stevens County,6,1
1985,Whitman County,7,2
1986,Kootenai County,11,5
1986,Latah County,4,4
1986,Lincoln County,2,1
1986,Pend Oreille County,1,0
1986,Spokane County,48,18
1986,Stevens County,4,1
1986,Whitman County,6,2
1987,Kootenai County,12,3
1987,Latah County,4,2
1987,Lincoln County,1,0
1987,Pend Oreille County,1,0
1987,Spokane County,31,15
1987,Stevens County,3,1
1987,Whitman County,3,1
1988,Kootenai County,4,4
1988,Latah County,6,3
1988,Lincoln County,1,1
1988,Pend Oreille County,2,2
1988,Spokane County,41,18
1988,Stevens County,6,1
1988,Whitman County,5,1
1989,Kootenai County,7,2
1989,Latah County,2,0
1989,Lincoln County,4,2
1989,Pend Oreille County,1,1
1989,Spokane County,34,13
1989,Stevens County,4,2
1989,Whitman County,5,3
1990,Kootenai County,8,3
1990,Latah County,2,1
1990,Lincoln County,2,1
1990,Pend Oreille County,1,1
1990,Spokane County,40,14
1990,Stevens County,9,3
1990,Whitman County,2,1
1991,Kootenai County,21,12
1991,Latah County,7,4
1991,Lincoln County,1,0
1991,Pend Oreille County,7,2
1991,Spokane County,45,22
1991,Stevens County,15,6
1991,Whitman County,7,4
1992,Kootenai County,9,3
1992,Latah County,5,2
1992,Lincoln County,5,4
1992,Pend Oreille County,3,0
1992,Spokane County,60,20
1992,Stevens County,6,1
1992,Whitman County,5,2
1993,Kootenai County,16,8
1993,Latah County,3,2
1993,Spokane County,53,22
1993,Stevens County,4,1
1993,Whitman County,5,1
1994,Kootenai County,17,9
1994,Latah County,9,3
1994,Lincoln County,3,1
1994,Pend Oreille County,4,1
1994,Spokane County,81,31
1994,Stevens County,9,1
1994,Whitman County,5,2
1995,Kootenai County,17,7
1995,Latah County,8,4
1995,Pend Oreille County,2,2
1995,Spokane County,60,34
1995,Stevens County,6,2
1995,Whitman County,7,4
1996,Kootenai County,23,11
1996,Latah County,7,5
1996,Lincoln County,4,3
1996,Pend Oreille County,5,1
1996,Spokane County,63,28
1996,Stevens County,8,4
1996,Whitman County,8,1
1997,Kootenai County,5,2
1997,Latah County,5,2
1997,Lincoln County,1,1
1997,Pend Oreille County,2,1
1997,Spokane County,77,38
1997,Stevens County,5,2
