ntee_major,ntee_major_name,n,revenue
A,"Arts, Culture & Humanities",310,54879005.0
B,Education,567,1171188634.0
C,Environment,92,13852405.0
D,Animal-Related,145,16670339.0
E,Health Care,121,1496467581.0
F,Mental Health & Crisis Intervention,67,182709076.0
G,Voluntary Health Associations,35,7186155.0
H,Medical Research,8,399203.0
I,Crime & Legal-Related,72,77763955.0
J,Employment,44,93436709.0
K,"Food, Agriculture & Nutrition",74,170223733.0
L,Housing & Shelter,75,48783679.0
M,Public Safety & Disaster Relief,64,4472277.0
N,Recreation & Sports,413,33370086.0
O,Youth Development,151,35218492.0
P,Human Services,355,308593215.0
Q,International Affairs,62,17533385.0
R,Civil Rights & Advocacy,39,8924167.0
S,Community Improvement,204,52818490.0
T,Philanthropy & Grantmaking,175,71979898.0
U,Science & Technology,1556,1715263555.0
W,Public & Societal Benefit,90,8632820.0
X,Religion-Related,454,46181943.0
Y,Mutual & Membership Benefit,74,875713227.0
Z,Unknown,35,29505140.0
