ein,name,city,zip,county,county_state,lat,lon,ruling_year,ntee,ntee_major,ntee_major_name,subsector,subsector_name,ntee_code_definition,subsection_code,foundation_code,revenue,income,assets,state
01-0568603,Global Gateway Network,Nine Mile Fls,99026,Spokane County,"Spokane County, WA",47.7886243793812,-117.594295874039,2002.0,X20,X,Religion-Related,REL,Religion,Christianity,3,15,223385.0,223385.0,286941.0,WA
01-0602585,Spokane Valley Heritage Museum,Spokane Vly,99214,Spokane County,"Spokane County, WA",47.6570600000001,-117.24725,2003.0,A50,A,"Arts, Culture & Humanities",ART,Arts & Culture,"Museum, Museum Activities",3,15,138404.0,153392.0,370442.0,WA
01-0650973,Whitman County Crop Improvement Association,Colfax,99111,Whitman County,"Whitman County, WA",46.8829426713802,-117.364572272755,2014.0,C99,C,Environment,ENV,Environment & Animals,"Environmental Quality, Protection, and Beautification N.E.C.",5,0,0.0,0.0,0.0,WA
01-0674564,Spokane Fly Fishers Club,Spokane,99220,Spokane County,"Spokane County, WA",47.657178,-117.3867885,2003.0,N61,N,Recreation & Sports,HMS,Human Services,"Fishing, Hunting",7,0,0.0,0.0,0.0,WA
01-0756987,Colbert Elementry Pto,Colbert,99005,Spokane County,"Spokane County, WA",47.8090704079294,-117.343018424924,2007.0,B94,B,Education,EDU,Education,Parent/Teacher Group,3,15,0.0,0.0,0.0,WA
01-0948768,Widows Might,Spokane Vly,99214,Spokane County,"Spokane County, WA",47.6570600000001,-117.24725,2011.0,P99,P,Human Services,HMS,Human Services,Human Services N.E.C.,3,15,86307.0,86307.0,76992.0,WA
01-0962155,Knights Of Columbus,Spokane,99201,Spokane County,"Spokane County, WA",47.658024,-117.428787,1940.0,UNDEFINED,U,Science & Technology,UNU,Unclassified,UNDEFINED,8,0,0.0,0.0,0.0,WA
02-0775838,Big Cat Wrestling,Spokane,99208,Spokane County,"Spokane County, WA",47.729637,-117.4506615,2007.0,N60,N,Recreation & Sports,HMS,Human Services,Amateur Sports,3,16,0.0,0.0,0.0,WA
02-0792001,Wesley Foundation,Pullman,99163,Whitman County,"Whitman County, WA",46.7306727782617,-117.177700959086,1974.0,UNDEFINED,U,Science & Technology,UNU,Unclassified,UNDEFINED,3,10,,,,WA
02-0797827,Greenhouse Community Center,Deer Park,99006,Spokane County,"Spokane County, WA",47.952918,-117.4689585,2007.0,K31,K,"Food, Agriculture & Nutrition",HMS,Human Services,"Food Banks, Pantries",3,15,143182.0,143182.0,309392.0,WA
