tract_fips,fips,LOCATION,E_TOTPOP,RPL_THEMES,RPL_THEME1,RPL_THEME2,RPL_THEME3,RPL_THEME4,EP_POV150,county
53043960100,53043,Census Tract 9601; Lincoln County; Washington,1854,0.4683,0.4186,0.6029,0.1577,0.5503,19.5,Lincoln County
53043960200,53043,Census Tract 9602; Lincoln County; Washington,3308,0.3456,0.448,0.254,0.0548,0.4463,18.5,Lincoln County
53043960300,53043,Census Tract 9603; Lincoln County; Washington,2807,0.5605,0.3264,0.9395,0.0057,0.642,18.1,Lincoln County
53043960400,53043,Census Tract 9604; Lincoln County; Washington,3067,0.5571,0.6069,0.677,0.1018,0.487,20.7,Lincoln County
53051970100,53051,Census Tract 9701; Pend Oreille County; Washington,1684,0.621,0.8552,0.2523,0.1328,0.6261,17.0,Pend Oreille County
53051970200,53051,Census Tract 9702; Pend Oreille County; Washington,2781,0.5911,0.6018,0.6103,0.3737,0.5436,29.6,Pend Oreille County
53051970300,53051,Census Tract 9703; Pend Oreille County; Washington,3507,0.7726,0.5956,0.7443,0.0367,0.9604,30.1,Pend Oreille County
53051970400,53051,Census Tract 9704; Pend Oreille County; Washington,2827,0.3869,0.7093,0.6929,0.1509,0.0407,13.9,Pend Oreille County
53051970500,53051,Census Tract 9705; Pend Oreille County; Washington,2771,0.3445,0.3852,0.6007,0.1628,0.2726,14.1,Pend Oreille County
53063000201,53063,Census Tract 2.01; Spokane County; Washington,3015,0.6838,0.8026,0.6714,0.303,0.5006,40.6,Spokane County
53063000202,53063,Census Tract 2.02; Spokane County; Washington,1510,0.8247,0.9321,0.8428,0.2832,0.5775,54.3,Spokane County
53063000301,53063,Census Tract 3.01; Spokane County; Washington,2802,0.7483,0.849,0.7624,0.5845,0.4321,37.4,Spokane County
53063000302,53063,Census Tract 3.02; Spokane County; Washington,3123,0.7313,0.8784,0.7692,0.6676,0.2958,36.2,Spokane County
53063000400,53063,Census Tract 4; Spokane County; Washington,4407,0.8484,0.8942,0.8066,0.4664,0.7104,32.0,Spokane County
53063000500,53063,Census Tract 5; Spokane County; Washington,3498,0.4791,0.6946,0.5837,0.3403,0.1861,21.0,Spokane County
53063000600,53063,Census Tract 6; Spokane County; Washington,3439,0.3886,0.5848,0.6307,0.2894,0.1046,20.8,Spokane County
53063000700,53063,Census Tract 7; Spokane County; Washington,5250,0.5271,0.7624,0.3835,0.1289,0.405,19.2,Spokane County
53063000800,53063,Census Tract 8; Spokane County; Washington,5729,0.2506,0.1968,0.5356,0.2934,0.2664,5.9,Spokane County
53063000900,53063,Census Tract 9; Spokane County; Washington,6330,0.4666,0.6555,0.5181,0.1735,0.3207,21.9,Spokane County
53063001000,53063,Census Tract 10; Spokane County; Washington,5638,0.2568,0.336,0.4649,0.0718,0.2149,9.8,Spokane County
53063001100,53063,Census Tract 11; Spokane County; Washington,3715,0.2749,0.1425,0.5266,0.4862,0.332,7.4,Spokane County
53063001200,53063,Census Tract 12; Spokane County; Washington,2391,0.5028,0.5781,0.267,0.3233,0.599,24.1,Spokane County
53063001300,53063,Census Tract 13; Spokane County; Washington,3366,0.3462,0.7059,0.1001,0.212,0.2472,24.0,Spokane County
53063001400,53063,Census Tract 14; Spokane County; Washington,6986,0.7302,0.8614,0.9152,0.5218,0.2127,34.1,Spokane County
53063001500,53063,Census Tract 15; Spokane County; Washington,5750,0.6702,0.8371,0.8484,0.147,0.3382,23.9,Spokane County
53063001600,53063,Census Tract 16; Spokane County; Washington,3413,0.8999,0.9564,0.97,0.5167,0.5119,38.4,Spokane County
53063001800,53063,Census Tract 18; Spokane County; Washington,2989,0.8003,0.7545,0.8614,0.2894,0.7443,30.6,Spokane County
53063001900,53063,Census Tract 19; Spokane County; Washington,3918,0.4361,0.767,0.4678,0.2465,0.1058,16.7,Spokane County
53063002000,53063,Census Tract 20; Spokane County; Washington,4162,0.7449,0.9304,0.9355,0.3188,0.1787,46.8,Spokane County
53063002100,53063,Census Tract 21; Spokane County; Washington,2670,0.3377,0.7743,0.0605,0.2097,0.2161,14.9,Spokane County
53063002300,53063,Census Tract 23; Spokane County; Washington,4499,0.7257,0.832,0.3592,0.476,0.7161,25.4,Spokane County
53063002400,53063,Census Tract 24; Spokane County; Washington,3330,0.871,0.9044,0.539,0.4647,0.9383,52.5,Spokane County
53063002501,53063,Census Tract 25.01; Spokane County; Washington,3222,0.582,0.6957,0.1188,0.5975,0.6997,57.7,Spokane County
53063002502,53063,Census Tract 25.02; Spokane County; Washington,2624,0.6137,0.8999,0.1103,0.078,0.7014,49.1,Spokane County
53063002503,53063,Census Tract 25.03; Spokane County; Washington,2986,0.3614,0.7805,0.0028,0.4347,0.5735,53.8,Spokane County
53063002600,53063,Census Tract 26; Spokane County; Washington,4916,0.7721,0.8473,0.5481,0.5342,0.6838,28.7,Spokane County
53063002900,53063,Census Tract 29; Spokane County; Washington,3520,0.3128,0.384,0.7528,0.2962,0.0814,8.3,Spokane County
53063003000,53063,Census Tract 30; Spokane County; Washington,2556,0.9219,0.9378,0.9774,0.5828,0.6414,32.8,Spokane County
53063003100,53063,Census Tract 31; Spokane County; Washington,5478,0.5843,0.56,0.737,0.2278,0.5277,28.2,Spokane County
53063003200,53063,Census Tract 32; Spokane County; Washington,2975,0.7189,0.7738,0.168,0.1888,0.9497,25.4,Spokane County
53063003500,53063,Census Tract 35; Spokane County; Washington,2909,0.8162,0.9497,0.2596,0.2866,0.884,57.2,Spokane County
53063003601,53063,Census Tract 36.01; Spokane County; Washington,2738,0.7415,0.746,0.6137,0.4715,0.7325,39.7,Spokane County
53063003602,53063,Census Tract 36.02; Spokane County; Washington,2501,0.8049,0.8671,0.1702,0.3211,0.9757,36.7,Spokane County
53063003800,53063,Census Tract 38; Spokane County; Washington,1861,0.4864,0.5843,0.3037,0.0396,0.6374,18.0,Spokane County
53063003900,53063,Census Tract 39; Spokane County; Washington,2354,0.5413,0.7822,0.5379,0.0215,0.3512,15.7,Spokane County
53063004001,53063,Census Tract 40.01; Spokane County; Washington,2645,0.6058,0.8156,0.2811,0.4534,0.474,25.2,Spokane County
53063004002,53063,Census Tract 40.02; Spokane County; Washington,2437,0.6538,0.8891,0.0945,0.4223,0.7234,27.9,Spokane County
53063004100,53063,Census Tract 41; Spokane County; Washington,2136,0.2432,0.3524,0.194,0.0854,0.3529,15.7,Spokane County
53063004200,53063,Census Tract 42; Spokane County; Washington,4980,0.0781,0.1454,0.4225,0.1702,0.0436,6.1,Spokane County
53063004300,53063,Census Tract 43; Spokane County; Washington,3586,0.0419,0.0062,0.211,0.1543,0.2393,5.2,Spokane County
53063004400,53063,Census Tract 44; Spokane County; Washington,5053,0.2687,0.3003,0.5503,0.0854,0.2387,11.5,Spokane County
53063004500,53063,Census Tract 45; Spokane County; Washington,3714,0.2319,0.3258,0.5696,0.1181,0.1227,10.5,Spokane County
53063004601,53063,Census Tract 46.01; Spokane County; Washington,4012,0.7862,0.5158,0.9451,0.2431,0.8795,18.8,Spokane County
53063004602,53063,Census Tract 46.02; Spokane County; Washington,2952,0.1363,0.2477,0.2981,0.3092,0.065,12.0,Spokane County
53063004701,53063,Census Tract 47.01; Spokane County; Washington,3361,0.4785,0.7641,0.2924,0.6201,0.1691,25.8,Spokane County
53063004702,53063,Census Tract 47.02; Spokane County; Washington,3758,0.6369,0.4072,0.9129,0.1261,0.7415,26.4,Spokane County
53063004800,53063,Census Tract 48; Spokane County; Washington,4548,0.6012,0.44,0.9361,0.1447,0.5356,14.1,Spokane County
53063004900,53063,Census Tract 49; Spokane County; Washington,5787,0.2426,0.1753,0.565,0.2363,0.2738,8.6,Spokane County
53063005000,53063,Census Tract 50; Spokane County; Washington,5244,0.7042,0.5758,0.6386,0.2578,0.8773,25.0,Spokane County
53063010101,53063,Census Tract 101.01; Spokane County; Washington,3959,0.0588,0.0379,0.4293,0.0763,0.1284,5.4,Spokane County
53063010102,53063,Census Tract 101.02; Spokane County; Washington,2830,0.1584,0.0221,0.3162,0.0639,0.5645,6.5,Spokane County
53063010201,53063,Census Tract 102.01; Spokane County; Washington,4299,0.2664,0.4084,0.2319,0.0345,0.3105,18.2,Spokane County
53063010203,53063,Census Tract 102.03; Spokane County; Washington,4509,0.1244,0.241,0.1578,0.1385,0.1799,11.8,Spokane County
53063010204,53063,Census Tract 102.04; Spokane County; Washington,3452,0.4333,0.6719,0.3247,0.0452,0.3626,25.0,Spokane County
53063010301,53063,Census Tract 103.01; Spokane County; Washington,5033,0.8252,0.9225,0.8648,0.1131,0.6357,27.7,Spokane County
53063010303,53063,Census Tract 103.03; Spokane County; Washington,3641,0.0865,0.134,0.2641,0.0073,0.151,11.7,Spokane County
53063010304,53063,Census Tract 103.04; Spokane County; Washington,5574,0.5057,0.6505,0.3614,0.1413,0.526,20.9,Spokane County
53063010305,53063,Census Tract 103.05; Spokane County; Washington,8097,0.1437,0.1408,0.2449,0.1215,0.2822,12.3,Spokane County
53063010401,53063,Census Tract 104.01; Spokane County; Washington,8884,0.9796,0.9519,0.8224,0.6919,0.9972,42.2,Spokane County
53063010403,53063,Census Tract 104.03; Spokane County; Washington,3602,0.6708,0.5334,0.7805,0.0995,0.8247,17.1,Spokane County
53063010404,53063,Census Tract 104.04; Spokane County; Washington,2995,0.1001,0.1912,0.2268,0.0763,0.1199,10.9,Spokane County
53063010504,53063,Census Tract 105.04; Spokane County; Washington,3651,0.2788,0.323,0.6578,0.0288,0.1838,11.9,Spokane County
53063010505,53063,Census Tract 105.05; Spokane County; Washington,3631,0.2115,0.3331,0.6612,0.0068,0.0707,6.9,Spokane County
53063010506,53063,Census Tract 105.06; Spokane County; Washington,5823,0.6465,0.4819,0.6227,0.212,0.8846,22.1,Spokane County
53063010507,53063,Census Tract 105.07; Spokane County; Washington,4820,0.1442,0.1934,0.6176,0.0678,0.0684,3.5,Spokane County
53063010508,53063,Census Tract 105.08; Spokane County; Washington,4516,0.0045,0.0419,0.1069,0.0107,0.082,2.1,Spokane County
53063010601,53063,Census Tract 106.01; Spokane County; Washington,3793,0.198,0.0769,0.586,0.1153,0.3643,5.1,Spokane County
53063010603,53063,Census Tract 106.03; Spokane County; Washington,4600,0.19,0.1895,0.6239,0.0305,0.1663,10.7,Spokane County
53063010604,53063,Census Tract 106.04; Spokane County; Washington,3788,0.1103,0.1482,0.181,0.069,0.2359,3.4,Spokane County
53063010701,53063,Census Tract 107.01; Spokane County; Washington,4485,0.0232,0.1652,0.4644,0.0678,0.0,2.8,Spokane County
53063010702,53063,Census Tract 107.02; Spokane County; Washington,3939,0.0006,0.0136,0.1759,0.0611,0.0385,9.1,Spokane County
53063010800,53063,Census Tract 108; Spokane County; Washington,2425,0.6652,0.7319,0.3043,0.2504,0.8269,36.3,Spokane County
53063010901,53063,Census Tract 109.01; Spokane County; Washington,2450,0.448,0.759,0.6171,0.2075,0.0877,19.6,Spokane County
53063010902,53063,Census Tract 109.02; Spokane County; Washington,3293,0.2771,0.6635,0.0294,0.4002,0.2839,25.9,Spokane County
53063011000,53063,Census Tract 110; Spokane County; Washington,3423,0.4938,0.634,0.7489,0.2753,0.1912,17.6,Spokane County
53063011102,53063,Census Tract 111.02; Spokane County; Washington,4251,0.7076,0.5549,0.5452,0.0904,0.961,18.6,Spokane County
53063011103,53063,Census Tract 111.03; Spokane County; Washington,2600,0.8592,0.9446,0.4819,0.1888,0.94,39.0,Spokane County
53063011104,53063,Census Tract 111.04; Spokane County; Washington,2904,0.8586,0.9033,0.6278,0.5659,0.8343,36.8,Spokane County
53063011202,53063,Census Tract 112.02; Spokane County; Washington,4025,0.5288,0.6063,0.7585,0.2708,0.31,15.9,Spokane County
53063011203,53063,Census Tract 112.03; Spokane County; Washington,5610,0.8784,0.7019,0.9169,0.2046,0.9774,31.4,Spokane County
53063011204,53063,Census Tract 112.04; Spokane County; Washington,2269,0.6657,0.6058,0.8908,0.1323,0.5905,26.0,Spokane County
53063011301,53063,Census Tract 113.01; Spokane County; Washington,3958,0.1917,0.1374,0.306,0.1261,0.3908,13.4,Spokane County
53063011302,53063,Census Tract 113.02; Spokane County; Washington,5289,0.3071,0.3422,0.5605,0.2431,0.2251,18.7,Spokane County
53063011400,53063,Census Tract 114; Spokane County; Washington,5713,0.3693,0.4055,0.6086,0.1735,0.2907,19.2,Spokane County
53063011500,53063,Census Tract 115; Spokane County; Washington,1537,0.2285,0.2285,0.6137,0.0571,0.1968,13.8,Spokane County
